127.0.0.1 - - [19/Jan/2023:19:57:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:58:00 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [19/Jan/2023:19:58:00 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:01:25 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:20:45 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:21:38 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:21:56 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:21:56 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:23:01 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:23:01 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:23:02 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 500 2047
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:23:58 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:41:08 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:43:01 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:50:49 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [19/Jan/2023:20:51:28 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:00:43 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:01:16 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:02:02 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:03:31 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:04:51 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 3945
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:07:18 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:07:58 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:12:51 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [19/Jan/2023:21:13:03 +0700] "GET /laptrinhdoan/views/admin/add.jsp HTTP/1.1" 200 4073
