127.0.0.1 - - [17/Feb/2023:07:38:34 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:36 +0700] "GET /laptrinhdoan/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:38 +0700] "GET /laptrinhdoan/login HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:38 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:42 +0700] "POST /laptrinhdoan/admin-checklogin HTTP/1.1" 200 12653
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:42 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:42 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:46 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 14258
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:46 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:46 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:38:53 +0700] "GET /laptrinhdoan/k-admin-views?inspectId=TT10&id=edit HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:01 +0700] "GET /laptrinhdoan/admin-new?action=addInspect HTTP/1.1" 200 13484
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:01 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:01 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:06 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 14258
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:06 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:06 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:18 +0700] "GET /laptrinhdoan/k-admin-views?inspectId=TT10&id=delete HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:23 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 14258
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:23 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:23 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [17/Feb/2023:07:39:26 +0700] "GET /laptrinhdoan/k-admin-views?inspectId=TT10&id=delete HTTP/1.1" 404 703
