127.0.0.1 - - [03/Mar/2023:07:55:16 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:17 +0700] "GET /laptrinhdoan/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:17 +0700] "GET /laptrinhdoan/complain HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:17 +0700] "GET /laptrinhdoan/template/homepage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:17 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:20 +0700] "GET /laptrinhdoan/views/login.jsp HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:25 +0700] "POST /laptrinhdoan/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:25 +0700] "GET /laptrinhdoan/views/admin/home.jsp HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:25 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:55:25 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:56:21 +0700] "GET /laptrinhdoan/views/login.jsp HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:56:23 +0700] "POST /laptrinhdoan/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:56:23 +0700] "GET /laptrinhdoan/views/admin/home.jsp HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:56:23 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:07:56:23 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:00:16 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 13720
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:00:16 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:00:16 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:03:08 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 13750
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:03:09 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:03:09 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:18:27 +0700] "GET /laptrinhdoan/admin-new?action=addInspect HTTP/1.1" 200 14218
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:18:27 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:18:27 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:44 +0700] "GET /laptrinhdoan/views/login.jsp HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:46 +0700] "POST /laptrinhdoan/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:46 +0700] "GET /laptrinhdoan/views/admin/home.jsp HTTP/1.1" 200 13387
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:46 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:46 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:54 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 13863
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:54 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:22:54 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:22 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 13869
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:22 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:22 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:23 +0700] "GET /laptrinhdoan/admin-views?action=view HTTP/1.1" 200 13869
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:23 +0700] "GET /laptrinhdoan/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [03/Mar/2023:08:26:23 +0700] "GET /laptrinhdoan/ckeditor/ckeditor.js HTTP/1.1" 404 714
